band,wlink,malink
Accept,https://en.wikipedia.org/wiki/Accept_(band),http://www.metal-archives.com/bands/Accept/198
AC_DC,https://en.wikipedia.org/wiki/List_of_AC/DC_band_members,none
Acid_Bath,https://en.wikipedia.org/wiki/Acid_Bath,http://www.metal-archives.com/bands/Acid_Bath/19
Agnostic_Front,https://en.wikipedia.org/wiki/Agnostic_Front,none
Alice_Cooper,https://en.wikipedia.org/wiki/List_of_Alice_Cooper_(solo)_personnel,none
Alice_In_Chains,https://en.wikipedia.org/wiki/Alice_in_Chains,none
Anata,https://en.wikipedia.org/wiki/Anata_(band),http://www.metal-archives.com/bands/Anata/2975
Annihilator,https://en.wikipedia.org/wiki/Annihilator_(band),http://www.metal-archives.com/bands/Annihilator/140
Anthrax,https://en.wikipedia.org/wiki/Anthrax_(American_band),http://www.metal-archives.com/bands/Anthrax/169
Anti-Flag,https://en.wikipedia.org/wiki/Anti-Flag,none
Anvil,https://en.wikipedia.org/wiki/Anvil_(band),http://www.metal-archives.com/bands/Anvil/542
Atheist,https://en.wikipedia.org/wiki/Atheist_(band),http://www.metal-archives.com/bands/Atheist/304
Bad_Religion,https://en.wikipedia.org/wiki/List_of_Bad_Religion_band_members,none
Bathory,https://en.wikipedia.org/wiki/Bathory_(band),http://www.metal-archives.com/bands/Bathory/184
Black_Flag,https://en.wikipedia.org/wiki/Black_Flag_(band),none
Black_Sabbath,https://en.wikipedia.org/wiki/Black_Sabbath,http://www.metal-archives.com/bands/Black_Sabbath/99
The_Berzerker,https://en.wikipedia.org/wiki/The_Berzerker,http://www.metal-archives.com/bands/The_Berzerker/827
Boris,https://en.wikipedia.org/wiki/Boris_(band),http://www.metal-archives.com/bands/Boris/9387
Brujeria,https://en.wikipedia.org/wiki/Brujeria_(band),http://www.metal-archives.com/bands/Brujeria/1347
Brutal_Truth,https://en.wikipedia.org/wiki/Brutal_Truth,http://www.metal-archives.com/bands/Brutal_Truth/606
Burzum,https://en.wikipedia.org/wiki/Burzum,http://www.metal-archives.com/bands/Burzum/88
Candlemass,https://en.wikipedia.org/wiki/Candlemass,http://www.metal-archives.com/bands/Candlemass/34
Cannibal_Corpse,https://en.wikipedia.org/wiki/Cannibal_Corpse,http://www.metal-archives.com/bands/Cannibal_Corpse/186
Cathedral,https://en.wikipedia.org/wiki/Cathedral_(band),http://www.metal-archives.com/bands/Cathedral/1107
Celtic_Frost,https://en.wikipedia.org/wiki/Celtic_Frost,http://www.metal-archives.com/bands/Celtic_Frost/269
Children_Of_Bodom,https://en.wikipedia.org/wiki/Children_of_Bodom,http://www.metal-archives.com/bands/Children_of_Bodom/22
The_Clash,https://en.wikipedia.org/wiki/The_Clash,none
Circle_Jerks,https://en.wikipedia.org/wiki/Circle_Jerks,none
Converge,https://en.wikipedia.org/wiki/Converge_(band),none
Cripple_Bastards,https://en.wikipedia.org/wiki/Cripple_Bastards,http://www.metal-archives.com/bands/Cripple_Bastards/3540391015
Crowbar,https://en.wikipedia.org/wiki/Crowbar_(American_band),http://www.metal-archives.com/bands/Crowbar/235
Cryptopsy,https://en.wikipedia.org/wiki/Cryptopsy,http://www.metal-archives.com/bands/Cryptopsy/17
Cynic,https://en.wikipedia.org/wiki/Cynic_(band),http://www.metal-archives.com/bands/Cynic/91
Darkthrone,https://en.wikipedia.org/wiki/Darkthrone,http://www.metal-archives.com/bands/Darkthrone/146
Dead_Kennedys,https://en.wikipedia.org/wiki/Dead_Kennedys,none
Death,https://en.wikipedia.org/wiki/Death_(metal_band),http://www.metal-archives.com/bands/Death/141
Decapitated,https://en.wikipedia.org/wiki/Decapitated_(band),http://www.metal-archives.com/bands/Decapitated/114
Deep_Purple,https://en.wikipedia.org/wiki/Deep_Purple,http://www.metal-archives.com/bands/Deep_Purple/1178
Destruction,https://en.wikipedia.org/wiki/Destruction_(band),http://www.metal-archives.com/bands/Destruction/155
